id	address	lat	lon
1322322	улица Петра Алексеева, 27	62.03902061479018	129.7311093585394
1324739	12/3	62.0356105050859	129.76285387040753
3366783	улица Петра Алексеева, 6	62.037036200049016	129.73747072628626
3501077	Октябрьская улица, 27/6	62.02740244317573	129.7081511728289
3501078	Октябрьская улица, 27/5	62.02727188478727	129.70913113004212
3649031	улица Лермонтова, 31/3	62.040797121957496	129.73218001562674
3652092	улица Хабарова, 11	62.033844226955935	129.75128821838902
3691729	улица Свердлова, 6/1	62.04389905960361	129.73385307975323
3770552	проспект Михаила Николаева, 4/2А	62.00561100445305	129.68944334173747
3934802	улица Свердлова, 12	62.04435709994186	129.73250369924008
4085998	улица Ярославского, 6/3	62.029582855899854	129.745307236371
4086072	проспект Ленина, 4	62.0332413863853	129.7478739587995
4086073	проспект Ленина, 4/2	62.03342126668865	129.74829408482245
4139932	улица Пушкина, 31/1	62.034074487021805	129.72003584049605
4144816	улица Орджоникидзе, 46/2	62.02757855221479	129.7240669073305
9902653	16/1	62.033627563760966	129.75896608352443
10033607	улица Ларионова, 16	62.02813980856538	129.76286063671813
12368689	20	62.02836776100858	129.7607643857963
12368696	21	62.028587233656154	129.75884946521586
12369370	1	62.03192389466138	129.75410645480167
12369376	16	62.03027396283307	129.76062042667178
12369377	15	62.030183242284195	129.75995136127486
13187597	1/1А	61.98077633880638	129.65128669477915
13187598	1/1	61.98088396765468	129.65168658499056
13187599	1/2	61.98093568682811	129.65203904907662
13187600	1/3	61.98111386797418	129.6522777413924
13187601	1/4	61.98132903774008	129.65202794970463
13187602	1/5	61.98152683880905	129.65177631100914
13187603	2	61.98078453110455	129.65001781846036
13187604	2/6	61.981150428063636	129.65013657993072
13223660	улица Короленко, 25	62.03606320701928	129.7233289559753
13223663	улица Лермонтова, 45	62.03590249891558	129.7214318188742
13223666	улица Пушкина, 28	62.03491874474118	129.7216805209313
15009707	улица Хабарова, 21/1А	62.03896291828332	129.7515864727791
15009708	улица Хабарова, 21/1	62.03865417262788	129.75146965449642
15917656	улица Губина, 5/1	62.04224685966617	129.7500696754959
16078520	Якутская улица, 2/18	62.06330801558993	129.7201457837421
16078521	Якутская улица, 2/16	62.06260334736946	129.72047869074845
16078522	Якутская улица, 2/14	62.06373068828586	129.72114337793488
16364869	улица Фёдора Попова, 6/1	62.045480250493505	129.75380222567347
16559590	проспект Ленина, 56/1	62.01828504538432	129.7189903549738
16559594	проспект Ленина, 56	62.01838455748875	129.71981294682158
16559834	улица Кирова, 17/3	62.02893243827484	129.72507219317725
16559835	улица Кирова, 17/1	62.029025653892255	129.72544943759482
16559836	улица Кирова, 17	62.02886789345246	129.72603867053306
16559837	улица Кирова, 17/4	62.0287628706543	129.72469299665335
16559838	улица Кирова, 17/5	62.028488089125105	129.72438651661784
16676697	4	62.032101450561115	129.75654969825763
16676699	3	62.03154698330777	129.75624494234256
16695624	улица Тимирязева, 1	62.01819315552916	129.7121547015103
16698246	улица Чепалова, 46	62.01903215375937	129.71440625340074
16698249	улица Чкалова, 2	62.01940819775167	129.7155953467542
16698251	улица Крупской, 37А	62.01941740637213	129.71337130956553
16698252	улица Крупской, 37Б	62.019755189463446	129.71475071395838
16698254	улица Крупской, 37	62.019030409618985	129.71216616134905
17004319	улица Свердлова, 9/1	62.04386812967797	129.72972394069188
17004323	улица Свердлова, 3/3	62.043254438289196	129.72960240608924
17151393	улица Кальвица, 30А	62.04805488949458	129.7314779217174
17151394	улица Кальвица, 30	62.04773419204239	129.73164678884228
17282149	проспект Михаила Николаева, 13/1 к2	62.00213205775135	129.69322869666865
17282155	проспект Михаила Николаева, 13/1 к1	62.00241342715141	129.69280217370547
17303968	Сергеляхское шоссе 11км, 6	62.02739903992144	129.62899606906012
17303969	Сергеляхское шоссе 11км, 6А	62.02732507382638	129.62834913985776
17394444	улица Красильникова, 4/1	62.00250932131636	129.68083692292893
17394445	улица Красильникова, 4/2	62.00191526525421	129.68095525806598
17486670	улица Тургенева, 8	62.02896523548096	129.70802012073418
17486671	улица Тургенева, 8/1	62.029329255071076	129.70749614833386
17486676	улица Тургенева, 10	62.0285111891333	129.70677481666704
17486677	улица Лермонтова, 87	62.02887443825261	129.70558206916579
17486678	улица Лермонтова, 83	62.02942501133365	129.70642146193418
17486682	улица Петровского, 38	62.028215829615725	129.70506434187757
17619164	улица Дзержинского, 41/3	62.05369588964893	129.7388868643238
17619167	улица Дзержинского, 41/2	62.05326320817699	129.7389981732564
18282224	улица Дзержинского, 51	62.05551972200514	129.73919589634508
18282225	улица Дзержинского, 47	62.05412776214422	129.73927945712535
18282226	улица Дзержинского, 49	62.05467633324879	129.7392664099123
18307871	улица Кирова, 31	62.03319601223759	129.71770907848858
18307879	улица Дзержинского, 11	62.03892242822517	129.7417024030008
18632547	улица Юрия Шафера, 4	61.971960838878005	129.65005174072814
18632549	улица Александра Захарченко, 7	61.971536489472754	129.6471749087111
18632553	улица Александра Захарченко, 9	61.97105264088907	129.64650585204564
18632557	улица Юрия Шафера, 8	61.97082335282093	129.648834228311
18632560	улица Юрия Шафера, 6	61.97139750429016	129.6494580279252
19936871	проспект Михаила Николаева, 19Г	61.998834453755904	129.69201661658408
48958391	улица Хабарова, 27/2	62.039941199999994	129.752101
48958392	улица Хабарова, 27/1	62.03999164709181	129.7529343406699
48958393	улица Хабарова, 25/1	62.0394862561507	129.75382922872933
48958394	улица Хабарова, 27/3	62.03943574221942	129.75057343349494
48958395	улица Хабарова, 27/4	62.039402250000016	129.74949205000001
48958396	улица Губина, 23	62.03855298811821	129.74834937601747
48958397	улица Губина, 27	62.037664038121086	129.74842932609408
48958398	улица Губина, 25	62.038116173833046	129.74838109426494
48958399	улица Губина, 17	62.03946213816312	129.74820247688294
48958400	улица Губина, 21	62.0390151	129.74826114999996
48958401	улица Губина, 15	62.03992265	129.74816605
48958402	улица Хабарова, 19	62.036371514982264	129.75276621834806
48958403	улица Хабарова, 19/1	62.03686387170017	129.7519444278542
48958404	улица Губина, 33	62.03712671471572	129.74866022299105
48958405	улица Хабарова, 17/1	62.03613038937362	129.7518893726102
48958406	улица Губина, 35	62.03627350850828	129.74878066956666
48958407	улица Чиряева, 5	62.03531204942068	129.7517856025999
48958408	улица Губина, 37	62.03562867094936	129.74915168802528
48958409	улица Губина, 35/1	62.03627673425361	129.74989742634128
48958411	улица Хабарова, 21/6	62.03819410000001	129.75308215
48958417	улица Губина, 25/1	62.03860971781293	129.74968528438293
48958420	улица Хабарова, 19/4	62.03771305	129.75335715
48958421	улица Хабарова, 19/3	62.03720362617908	129.75250910773357
48958422	улица Хабарова, 19/2	62.03797329999999	129.75199270000002
48958423	улица Хабарова, 23/1	62.039290499999986	129.75232340000002
48958424	улица Хабарова, 23	62.03916095852546	129.75386692879272
48958425	улица Хабарова, 23/2	62.038704	129.75265095
48958427	улица Хабарова, 27	62.040001750000016	129.7539669
48958429	улица Богатырёва, 5	62.04013930125121	129.750736171171
48958430	улица Богатырёва, 7	62.04006789999999	129.74986370000002
48963721	улица Фёдора Попова, 2/2	62.045608289893124	129.7595933186596
87366348	проспект Ленина, 16	62.03051799473208	129.73755067375623
87366355	Октябрьская улица, 26/2	62.030732853019614	129.71393173884672
87366358	улица Ярославского, 19/1	62.0272790126598	129.73637201925246
87366361	улица Кирова, 11	62.026388582846614	129.73082920583846
